GroupID,N_members,X_center,Y_center,Z_center
0,31.0,-228.38330146475073,-53.332518680556575,234.84498215551784
1,57.0,-218.02907656306996,-24.292830287673524,287.698094794407
2,41.0,-282.5545514033175,-12.210844012915862,210.1433159603375
3,31.0,-261.6173833586019,-75.20673632217743,269.34986096584606
4,67.0,-237.88210070331513,-15.557803684283323,208.99639600902597
5,31.0,-249.2909276972933,-76.67078209898735,215.73819326707044
6,89.0,-220.96450516292686,-16.4984736149238,274.2827089015193
7,29.0,-213.6191249203956,-93.50518962912477,283.66995490353906
8,14.0,-289.7709271844297,-37.572174092248936,202.82831042116896
9,23.0,-292.0207092021473,-29.900232926423467,265.6185647733434
10,22.0,-214.8114796792457,-72.13628261877575,209.29852850254744
11,15.0,-220.72887279161125,-31.758822209142128,209.20355971798202
12,37.0,-231.31354275559988,-38.133456638484795,284.88837419993575
13,48.0,-273.45638666199864,-65.94818314413077,217.15701105516746
14,44.0,-226.49558869146435,-75.60138387272555,267.8628077124095
15,45.0,-237.18633952246896,-91.34081588255385,226.37907790095974
16,20.0,-201.86608586890193,-2.59398111552781,204.9482472009259
17,39.0,-211.28572485690052,-69.24174162293444,292.12960495383845
18,29.0,-259.24816230841145,-79.44999052978763,284.60881633964595
19,40.0,-205.93966071358642,-7.6588211146579415,278.0152076082413
20,39.0,-231.84304761569004,-90.33679426628082,206.2726842957765
21,56.0,-228.7498054137427,-17.43283165933135,223.18207204247696
22,30.0,-269.2543424383338,-10.213082904296146,247.18675458645743
23,73.0,-269.35205968729844,-14.518504522793116,206.6291558508516
24,44.0,-254.48080747455379,-29.70957126792465,223.8519871030473
25,10.0,-298.0463018623392,-96.38581602126955,209.71332892357904
26,24.0,-295.05622545525483,-58.60481030260896,246.62964191520095
27,15.0,-274.22297237331657,-92.0336836085014,287.3410723539785
28,38.0,-254.97058351404652,-14.627045244264346,258.5745934689174
29,42.0,-261.05545975528776,-90.12021628851281,270.0825836876465
30,17.0,-218.69247701128216,-63.14370854304018,258.8604816248818
31,63.0,-225.2233655194188,-35.158223787246875,229.93312112490145
32,40.0,-231.16076013146227,-11.286542178915123,291.23517062571216
33,14.0,-262.11272820824195,-19.930760855754585,287.45267694003854
34,73.0,-255.456535873362,-5.833467489235582,208.4410187498146
35,40.0,-202.92950686367817,-41.15286938682852,294.49445238779003
36,104.0,-226.88442011941714,-33.09413595735379,254.80539346900562
37,49.0,-219.4789358627464,-68.93555229075885,232.40869133990728
38,34.0,-212.57393084373575,-81.55307197874392,290.00002267704497
39,36.0,-247.56922608737298,-80.69160984337171,253.13992231333327
40,56.0,-259.72015375189153,-88.03606496169927,237.79781244952903
41,23.0,-215.34621752631716,-93.72767749684733,230.11078090025316
42,30.0,-226.4379428032286,-32.348710739793944,282.1138557630645
