GroupID,X,Y,Z
0.0,-227.75481619247375,-52.1265122739532,233.7510606990514
0.0,-227.66011125242383,-52.34727070160548,234.6321957644998
0.0,-227.67581409203066,-52.41186633942432,234.60253672753223
0.0,-226.72805104103796,-52.22005036794412,233.6229227507539
0.0,-230.26208968553962,-53.01285706628199,236.67708023393234
0.0,-231.39796361256475,-53.59420837896804,237.85706609405116
0.0,-228.08422016429455,-52.93206605669736,234.92944479979758
0.0,-222.94961448310877,-51.677708395616115,228.60190609185676
0.0,-228.1162145848431,-52.978230252580744,234.88797096001414
0.0,-223.02932845431678,-52.00979995770479,228.74698131993003
0.0,-232.79588030322725,-54.36717111436928,239.62893671116552
0.0,-232.81811317658205,-54.43861930753885,239.59111293043088
0.0,-228.27176720897222,-53.661090881540254,234.3713822700849
0.0,-231.7513621237632,-54.5698773600617,238.29870791262078
0.0,-227.3597928273282,-53.59159688328736,233.69211594180513
0.0,-231.80216802179052,-54.60586680279778,238.24104131162844
0.0,-231.70109214606322,-54.63542637520631,238.3325694009471
0.0,-230.35403381899164,-54.29479252806538,236.56250880856322
0.0,-231.20883214407968,-54.61904082190287,237.72288870529735
0.0,-223.2578109241124,-52.73385513266226,229.3971392821325
0.0,-223.2580591792135,-52.81384810312813,229.37849416777496
0.0,-225.0882424870312,-53.282522371653755,231.46327081098627
0.0,-233.65482930142394,-55.34202530698108,239.79491291943154
0.0,-224.99256475735956,-52.570207821888495,229.88201563928266
0.0,-229.70293834605795,-53.89139973583033,235.2416718132121
0.0,-224.69403238202898,-53.64020373686612,229.74611290745815
0.0,-223.046175703413,-53.28014503134107,228.21997613058159
0.0,-227.0557430388069,-52.20203924084476,234.2926294648181
0.0,-229.43349602286705,-52.89421276852077,236.9156771663373
0.0,-224.88132622962084,-52.00231234092468,232.75477687401045
0.0,-229.52129647764147,-53.24357396267377,236.8648096991837
1.0,-212.42023150499548,-21.264574094237158,298.29905325999
1.0,-211.9806068830125,-22.798904254564412,297.45186303765615
1.0,-226.87943529493828,-22.68238409531399,285.2070813878856
1.0,-218.7684894382365,-27.38824375578677,275.22371968076146
1.0,-221.1724640219202,-27.74026218869284,278.41956482228005
1.0,-222.826207075637,-28.077633441203503,280.8074094596422
1.0,-222.53270233906585,-29.535623798688793,279.8415066296488
1.0,-223.6293017695916,-25.800628104389197,285.42587607980556
1.0,-224.06821509429597,-21.772179263232506,290.16224939397546
1.0,-222.3508587447711,-21.741798745612822,288.0344746841996
1.0,-223.10441059107777,-23.318712290946706,288.9773266860371
1.0,-213.9494133645761,-26.14095379596475,277.84096395266977
1.0,-217.68539479749592,-26.705128212791454,282.9076627912029
1.0,-215.81597633956528,-26.86103226217949,279.4955296796002
1.0,-220.7947826699719,-27.829930996373157,285.9677568882774
1.0,-213.58535283907128,-26.946429446432198,277.6117877176804
1.0,-215.0422894884775,-27.371841519186102,279.34502363694224
1.0,-213.19652728926405,-27.432389904953975,277.52728669611326
1.0,-221.29717977286074,-22.113269685129875,292.0014452451931
1.0,-221.28440566088142,-22.12489397270071,292.0102453251904
1.0,-223.98641687727223,-22.5963170620941,294.7538933095951
1.0,-219.54513248821056,-22.224081884691774,288.5083941548954
1.0,-215.20068021140028,-25.728437329888315,283.4803201245183
1.0,-215.2089218212174,-25.87708143488076,283.59891824167653
